Sl. No.,State,Per Capita GSDP - 2021-22,Per Capita GSDP - 2022-23,IMR (2022),Population (2011),% Women Literate (Ages 15-49),% Institutional Births ,ANC Full Protocol,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,% Children (12-23 months) Fully Immunised ,Number of PHCs,"PHC Density per 100,000"
1,Andhra Pradesh,219799,245582,20,49577103,68.6,96.5,67.5,7.2,88.0,1689,3.406814634
2,Arunachal Pradesh,212372,225770,19,1383727,73.8 ,79.2 ,36.5 ,5.1 ,76.4 ,131,9.467185362
3,Assam,116554,134591,32,31205576,77.2 ,84.1 ,50.7 ,5.5 ,71.8 ,1010,3.236601048
4,Bihar,52144,59244,26,104099452,57.8 ,76.2 ,25.2 ,13.7 ,82.7 ,1760,1.690690937
5,Chhatisgarh,138256,154609,38,25545198,74.6 ,85.7 ,60.1 ,3.6 ,84.8 ,822,3.21782591
6,Goa,519681,567344,5,1458545,93.0 ,99.7 ,93.0 ,3.2 ,91.0 ,28,1.919721366
7,Gujarat,273290,309691,20,60439692,76.5 ,94.3 ,76.9 ,8.2 ,85.0 ,1804,2.984793503
8,Haryana,295325,329777,26,25351462,81.7 ,94.9 ,60.4 ,4.9 ,81.1 ,497,1.960439205
9,Himachal Pradesh,232180,257249,17,6864602,91.7 ,88.2 ,70.3 ,4.7 ,96.4 ,570,8.303467557
10,Jharkhand,97035,106310,25,32988134,65.0 ,75.8 ,38.6 ,7.2 ,79.2 ,361,1.09433289
11,Karnataka,294833,336221,15,61095297,76.7 ,97.0 ,70.9 ,5.3 ,88.3 ,2521,4.126340527
12,Kerala,259878,286595,7,33406061,98.3 ,99.8 ,78.6 ,4.3 ,85.2 ,944,2.825834509
13,Madhya Pradesh,128406,144688,40,72626809,68.9 ,90.7 ,57.5 ,6.4 ,83.3 ,1572,2.164489975
14,Maharashtra,251521,289404,13,112374333,84.6 ,94.7 ,70.3 ,8.9 ,81.7 ,2539,2.259412743
15,Manipur,110184,125406,3,2855794,87.6 ,79.9 ,79.4 ,5.6 ,75.7 ,95,3.326570474
16,Meghalaya,120678,138381,30,2966889,88.2 ,58.1 ,52.2 ,10.4 ,80.0 ,147,4.954684857
17,Mizoram,218634,248908,11,1097206,94.4 ,85.8 ,58.0 ,4.3 ,83.7 ,66,6.015278808
18,Nagaland,145799,166369,9,1978502,85.8 ,45.7 ,20.7 ,3.4 ,71.3 ,136,6.873887416
19,Odisha,151971,164564,32,41974218,71.9 ,92.2 ,78.1 ,9.7 ,90.7 ,1393,3.318703877
20,Punjab,197156,211204,16,27743338,81.4 ,94.3 ,59.3 ,4.9 ,85.2 ,522,1.881532785
21,Rajasthan,149763,168338,30,68548437,66.4 ,94.9 ,55.3 ,6.1 ,85.3 ,2409,3.514303324
22,Sikkim,553671,622120,5,610577,88.9 ,94.7 ,58.4 ,5.5 ,87.6 ,26,4.25826718
23,Tamil Nadu,270787,311778,11,72147030,85.9 ,99.6 ,89.9 ,3.7 ,90.4 ,1886,2.614106222
24,Telangana,297251,345226,18,35003674,66.6 ,97.0 ,70.4 ,7.4 ,87.4 ,834,2.382607037
25,Tripura,152329,175261,17,3673917,80.6 ,89.2 ,52.7 ,6.2 ,77.1 ,117,3.184611955
26,Uttarakhand,232947,262174,21,10086292,68.8 ,83.4 ,42.4 ,5.6 ,78.4 ,607,6.01806888
27,Uttar Pradesh,85293,97323,38,199812341,81.6 ,83.2 ,61.8 ,4.4 ,88.6 ,3513,1.758149663
28,West Bengal,135080,154905,17,91276115,76.1 ,91.7 ,75.8 ,6.5 ,90.8 ,1371,1.502035883
