Sl. No.,State,Per Capita GSDP - 2021-22,Per Capita GSDP - 2022-23,IMR (2012),IMR (2013) ,IMR (2014),IMR (2015) ,IMR (2016) ,IMR (2017) ,IMR (2018),IMR (2019),IMR (2020) ,IMR (2021) ,IMR (2022),Population (2011),% Women Literate (Ages 15-49),% Institutional Births ,ANC Full Protocol,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,% Children (12-23 months) Fully Immunised ,Number of PHCs,"PHC Density per 100,000",Statewise Per Capita Healthcare Expenditure,Per Capita Health Expenditure as %GDP,Number of Medical Colleges ,"Number of Medical Colleges per 100,000"
1,Andhra Pradesh,219799,245582,41,39,39,37,34,32,29,25,24,22,20,49577103,68.6,96.5,67.5,7.2,88.0,1689,3.406814634,3129,1.423573356,38,0.7664828661
2,Arunachal Pradesh,212372,225770,33,32,,30,36,,,29,21,21,19,1383727,73.8 ,79.2 ,36.5 ,5.1 ,76.4 ,131,9.467185362,7825,3.684572354,1,0.7226859055
3,Assam,116554,134591,55,54,49,47,44,44,41,40,36,34,32,31205576,77.2 ,84.1 ,50.7 ,5.5 ,71.8 ,1010,3.236601048,2753,2.361995298,15,0.480683324
4,Bihar,52144,59244,43,42,42,42,38,35,32,29,27,27,26,104099452,57.8 ,76.2 ,25.2 ,13.7 ,82.7 ,1760,1.690690937,1320,2.531451365,23,0.2209425656
5,Chhattishgarh,138256,154609,47,46,43,41,39,38,41,40,38,38,38,25545198,74.6 ,85.7 ,60.1 ,3.6 ,84.8 ,822,3.21782591,2940,2.12648999,10,0.3914630061
6,Goa,519681,567344,10,9,20,9,8,,,,,,5,1458545,93.0 ,99.7 ,93.0 ,3.2 ,91.0 ,28,1.919721366,8295,1.596171498,1,0.6856147736
7,Gujarat,273290,309691,38,36,35,33,30,30,28,25,23,21,20,60439692,76.5 ,94.3 ,76.9 ,8.2 ,85.0 ,1804,2.984793503,2769,1.013209411,40,0.6618167412
8,Haryana,295325,329777,42,41,36,36,33,30,30,27,28,27,26,25351462,81.7 ,94.9 ,60.4 ,4.9 ,81.1 ,497,1.960439205,3237,1.096080589,13,0.5127909388
9,Himachal Pradesh,232180,257249,36,35,32,28,25,23,19,19,17,17,17,6864602,91.7 ,88.2 ,70.3 ,4.7 ,96.4 ,570,8.303467557,5581,2.403738479,7,1.019724086
10,Jharkhand,97035,106310,38,37,34,32,29,29,30,27,25,25,25,32988134,65.0 ,75.8 ,38.6 ,7.2 ,79.2 ,361,1.09433289,2322,2.392950997,7,0.2121975132
