president,num_justices
George Washington,11
Franklin D. Roosevelt,9
William Howard Taft,6
Andrew Jackson,6
Abraham Lincoln,5
Dwight D. Eisenhower,5
Grover Cleveland,4
Benjamin Harrison,4
Ronald Reagan,4
Warren G. Harding,4
Ulysses S. Grant,4
Richard Nixon,4
Harry S. Truman,4
Donald Trump,3
Woodrow Wilson,3
Theodore Roosevelt,3
Thomas Jefferson,3
John Adams,3
Herbert Hoover,3
Barack Obama,2
Bill Clinton,2
Lyndon B. Johnson,2
Chester A. Arthur,2
George H. W. Bush,2
George W. Bush,2
James K. Polk,2
John F. Kennedy,2
Rutherford B. Hayes,2
Martin Van Buren,2
James Madison,2
Calvin Coolidge,1
Franklin Pierce,1
Gerald Ford,1
Joe Biden,1
James Monroe,1
James A. Garfield,1
James Buchanan,1
Millard Fillmore,1
John Tyler,1
John Quincy Adams,1
William McKinley,1
